,DFC_126_2_Acetyl_norm,DFC_127N_2_Acetyl_norm,DKO_127C_2_Acetyl_norm,DKO_128N_2_Acetyl_norm,DKO_128C_2_Acetyl_norm,S3FL_129N_2_Acetyl_norm,S3FL_129C_2_Acetyl_norm,S3KO_130N_2_Acetyl_norm,S3KO_130C_2_Acetyl_norm,S3KO_131_2_Acetyl_norm
11591,24.670473532199477,28.891130396818124,34.06729710559053,31.519896608288466,23.93992378969762,27.657094984061416,26.4906171459627,30.882424724023107,27.192617775703784,27.512815434879027
11593,7.217998806364039,5.538235858814976,4.905690783205036,7.014813785227402,5.753801425850071,5.678643076575348,1.7402595205376956,5.529623345855488,5.0922505197947165,7.394748812536655
11798,13.143221707110637,13.47637392311644,28.07145281500659,23.56977431836407,14.692742926724291,9.148924956704725,13.438670741929984,12.102571851306353,8.045755821275652,5.328568997269061
11805,12.281371103365679,25.47588495054889,78.8544370337402,70.89638465603161,75.21040435218308,17.351409400646894,26.393936061488386,29.734767048468193,39.10848399202342,30.231473086546913
11991,15.51331086740928,5.169020134893977,128.27472936825018,89.32196219856226,113.3293387984398,7.361203988153228,11.215005799020705,38.91602845290749,51.83911029151021,33.49386226854838
12187,3.33967108951172,2.0306864815654913,49.60198458573981,34.60641467378852,35.96125891156295,4.101242221971084,4.3506488013442395,8.242268760803464,12.628781289090897,7.394748812536655
12440,14.435997612728078,11.999511027432447,26.34537642832334,18.425577542530643,24.96738833002799,13.881127520517515,15.855697853787893,14.189222170497102,13.341696361862157,17.399408970674482
12537,45.57035067301475,58.33608437951774,97.02366215672181,84.08423457225913,82.5054025885287,61.728953443513504,57.13852092432101,68.54646298541616,73.53209750583571,67.20521714923018
12679,8.941700013853959,9.04578523606446,13.990303344695842,12.907257364818422,9.760913133138514,7.466364045126845,7.251081335573732,5.946953409693639,10.897416112360693,9.025943403537388
12693,26.71736871609376,24.460541709766144,119.19011680675938,83.05539521709244,102.12997530883878,16.615289001831574,31.32467136967852,34.11673271876877,33.303318399457446,31.645175065414215
12695,8.941700013853959,9.784216683906456,31.06937496029856,18.70617009393974,24.55640251389584,5.888963190522582,6.090908321881934,10.433251595953752,8.45313586285923,7.28600250646994
12696,31.996203664031636,31.475640464265112,410.079411025695,311.64479376503607,368.24329125440454,27.97257515498227,46.98700705451778,97.3422373902485,86.2627238053225,86.1270744048387
12697,34.474024149798396,40.33681783836907,145.71718548631256,119.62595775074465,125.86440619047032,28.393215382876736,46.11687729424894,47.88862482542772,47.05239480290319,43.06353720241935
12707,16.913818098494836,16.06088399056343,57.77813589108153,52.65786881444036,53.63364900524531,15.458528375121778,26.007211723591116,19.197182936554903,20.26715706878297,18.595618337408354
12720,150.5006616789636,155.4398197707403,2222.0962325406513,1658.2084479772884,1991.534518522356,139.126755376096,199.35639618604046,458.12407757832926,516.8634277591638,492.62076648222126
12726,121.19774115163499,131.99462130175692,806.5319032091538,552.9543879768588,599.4228128287378,81.4990441545536,156.72003793286692,138.86657874214444,170.18301237153943,172.90662664607765
12730,7.864386759172759,4.0613729631309825,63.50144180482074,49.758412449879714,59.49019688512842,6.309603418417053,10.634919292174807,17.527862681202304,21.285607172741912,18.37812572527492
12736,172.37012074899198,190.88452926715618,619.2071921912134,442.49445357214455,558.0159918534239,157.84524551739992,233.48481900547418,142.9355468645664,195.03319490813763,157.46465118460407
12737,48.26363380971775,65.44348706499697,197.1360925843505,138.42565869515408,154.6334133197207,54.05226928443942,75.12120263654387,35.57738794220229,45.62656465736066,39.47490910221773
12741,22.084921720964598,21.599119849378404,62.50213442305675,57.895596440743496,68.0181525698705,12.303726665913253,31.227990285204204,18.153857776959526,16.600736694530777,16.311945910007328
12744,79.72118084640879,103.56501055984005,301.8816754183395,244.77023567920148,279.57310142389366,79.08036284416039,116.30734462260266,80.02303974096527,78.82803804642222,73.94748812536655
12746,3.0164771131073596,4.892108341953228,9.447997063950439,8.698369093681979,10.2746454033037,4.942522677760024,4.930735308190138,1.6693202553526003,5.601475571774188,3.371135488068181
12747,76.5969724078333,77.25839023046892,265.63407129799117,199.96895830421585,225.93945241864836,43.53626358707766,103.35207930304426,67.2944727939017,67.72693191326972,58.39676635782624
12756,668.0419492278121,737.6930163941548,2334.382043800678,1725.0830060631229,2175.656164149558,558.3999025299091,880.281274138651,584.6794194372483,674.9268838935918,604.4119691188048
12759,23.054503650177676,23.629806330943897,65.13667206588909,52.844930515379765,63.29181568435079,13.25016717867581,31.42135245415284,23.683481122815017,29.738743035601143,10.657137994538122
12760,35.87453138088395,47.62882838580879,139.81218732134352,109.15050249813838,120.8298299428515,37.12150011168699,43.989893435813975,35.78605297412137,41.65460925192078,41.106103693218465
12762,5.709760249810359,6.184363375676723,18.078378997366706,10.75604780401535,26.61133159455658,5.678643076575348,8.701297602688479,6.051285925653176,5.0922505197947165,6.742270976136362
12764,214.81626298343127,226.23693483259174,554.5247507533988,443.80388547872036,523.3904368442904,173.72441412041616,239.76908949630473,201.3617558019074,232.91953877541033,197.37454551108866
12767,21.11533979175152,23.999022054864895,35.79337349227378,27.685131739030815,33.80358337686917,10.936645925256226,16.725827614056744,17.73652771312138,20.47084708957476,21.205529683009527
12769,10.234475919471398,16.70701150742518,59.685904528994605,42.275944412303815,51.06498765441939,9.990205412493667,21.753244006721197,10.850581659791903,12.730626299486792,11.092123218804982
13096,41.90748560709867,50.12103452227553,141.5382637080268,106.43810783451711,121.75454802914884,39.540181422080195,71.25395925757121,39.12469348482657,48.07084490686213,45.45595593588708
13100,167.19901712652222,191.7152646459784,590.1364319944429,455.0275875350842,537.9804333169817,134.28939275530962,241.79939227026537,138.97091125810397,151.23984043790307,138.1078087047287
13102,14.651460263664317,10.245736338807705,979.9571570080134,711.3956486725283,955.3365295991779,19.033970312224778,17.982681712222856,200.7357607061502,213.976366841774,244.89668126224333
13105,11.419520499620718,18.645394058010417,52.963291233491404,44.24009227216748,41.0985816132148,11.357286153150696,22.043287260144147,16.90186758544508,13.13800634107037,15.441975461473602
13109,17.452474725835437,18.09157047212892,62.683826674286564,39.84414230009165,61.134140149657014,13.039847064728576,24.653676540950688,17.423530165242767,12.017711226715532,12.614571503738999
